player_id,game_count,total_profit,avg_roi_%,avg_stake
Aaron Barnes,1,49,96.08,51.0
Aaron Bell Jr.,3,-53,-34.64,51.0
Aaron Castillo,2,-102,-100.0,51.0
Aaron Cruz,1,-51,-100.0,51.0
Aaron Diaz,23,-573,-48.85,51.0
Aaron Garcia,82,218,5.21,51.0
Aaron Gray,27,123,8.93,51.0
Aaron Gray DDS,8,92,22.55,51.0
Aaron Harris,2,-2,-1.96,51.0
Aaron Hodges,1,49,96.08,51.0
Aaron Hoffman,6,-6,-1.96,51.0
Aaron Hunter,1,-51,-100.0,51.0
Aaron Hutchinson,2,-2,-1.96,51.0
Aaron Ibarra,1,-51,-100.0,51.0
Aaron Jones,11,-61,-10.87,51.0
Aaron King,8,292,71.57,51.0
Aaron Knox,2,-2,-1.96,51.0
Aaron Lindsey,1,49,96.08,51.0
Aaron Martinez,1,49,96.08,51.0
Aaron Mejia,17,-267,-30.8,51.0
Aaron Mendez,5,45,17.65,51.0
Aaron Moon DDS,11,-61,-10.87,51.0
Aaron Morris,1,-51,-100.0,51.0
Aaron Murray,1,49,96.08,51.0
Aaron Nelson,2,-2,-1.96,51.0
Aaron Richardson,1,49,96.08,51.0
Aaron Rodriguez DDS,22,-222,-19.79,51.0
Aaron Serrano,5,145,56.86,51.0
Aaron Simpson DDS,4,-4,-1.96,51.0
Aaron Smith,4,-4,-1.96,51.0
Aaron Spencer,2,-2,-1.96,51.0
Aaron Stevenson,1,49,96.08,51.0
Aaron Taylor,49,201,8.04,51.0
Aaron Thomas,25,325,25.49,51.0
Aaron Thompson,4,196,96.08,51.0
Aaron Walker,1,-51,-100.0,51.0
Aaron Wheeler,1,49,96.08,51.0
Abigail Baldwin,1,49,96.08,51.0
Abigail Bowman,2,-102,-100.0,51.0
Abigail Daniels,4,-104,-50.98,51.0
Abigail Escobar,2,-2,-1.96,51.0
Abigail Fowler,2,-102,-100.0,51.0
Abigail Frost,10,90,17.65,51.0
Abigail Garrett,1,-51,-100.0,51.0
Abigail Garrison,17,-267,-30.8,51.0
Abigail Grant,69,-419,-11.91,51.0
Abigail Hernandez,2,98,96.08,51.0
Abigail Jacobson,256,-256,-1.96,51.0
Abigail Keith,1,49,96.08,51.0
Abigail King,7,-57,-15.97,51.0
Abigail Moore,1,49,96.08,51.0
Abigail Nguyen,480,520,2.12,51.0
Abigail Riley,1,-51,-100.0,51.0
Abigail Rivera,7,-157,-43.98,51.0
Abigail Rodriguez,2,-2,-1.96,51.0
Abigail Thomas,3,-153,-100.0,51.0
Abigail Wilson,13,-163,-24.59,51.0
Abigail Wise,3,-53,-34.64,51.0
Abigail Wolfe,25,225,17.65,51.0
Adam Andrade,24,-224,-18.3,51.0
Adam Bennett,1,-51,-100.0,51.0
Adam Carney,1,-51,-100.0,51.0
Adam Castro,1,-51,-100.0,51.0
Adam Cervantes,20,-20,-1.96,51.0
Adam Conner,13,37,5.58,51.0
Adam Davis,12,88,14.38,51.0
Adam Estrada,12,-112,-18.3,51.0
Adam Fernandez,1,49,96.08,51.0
Adam Fitzgerald,5,-55,-21.57,51.0
Adam Fletcher,2,-2,-1.96,51.0
Adam Francis,1,-51,-100.0,51.0
Adam Garcia,1,-51,-100.0,51.0
Adam Gonzalez,164,-1264,-15.11,51.0
Adam Gray,1,-51,-100.0,51.0
Adam Hall,1,49,96.08,51.0
Adam Haynes,3,47,30.72,51.0
Adam Hester DDS,1,49,96.08,51.0
Adam Hunter,2,-102,-100.0,51.0
Adam Jenkins,3,47,30.72,51.0
Adam Johnson,27,-477,-34.64,51.0
Adam Kim,1,-51,-100.0,51.0
Adam Lopez,1,-51,-100.0,51.0
Adam Lozano,10,-110,-21.57,51.0
Adam Macias,15,-165,-21.57,51.0
Adam Maddox,6,-6,-1.96,51.0
Adam Mcintosh,1,-51,-100.0,51.0
Adam Mendoza,14,286,40.06,51.0
Adam Mitchell,5,45,17.65,51.0
Adam Montgomery,8,-8,-1.96,51.0
Adam Morris,1,-51,-100.0,51.0
Adam Nichols,10,90,17.65,51.0
Adam Ochoa,114,-414,-7.12,51.0
Adam Orozco,37,-87,-4.61,51.0
Adam Park,5,-255,-100.0,51.0
Adam Parker,2,-2,-1.96,51.0
Adam Patel,31,219,13.85,51.0
Adam Paul,1,-51,-100.0,51.0
Adam Payne,1,-51,-100.0,51.0
Adam Peterson,2,98,96.08,51.0
Adam Randolph,12,-12,-1.96,51.0
Adam Reed,1,49,96.08,51.0
Adam Rogers,44,256,11.41,51.0
Adam Ryan,1,-51,-100.0,51.0
Adam Sandoval,1,-51,-100.0,51.0
Adam Sims Jr.,1,-51,-100.0,51.0
Adam Singleton,1,-51,-100.0,51.0
Adam Smith,2,-2,-1.96,51.0
Adam Stafford,1,-51,-100.0,51.0
Adam Taylor,12,-12,-1.96,51.0
Adam Villarreal,9,-159,-34.64,51.0
Adam Watts,1,49,96.08,51.0
Adam Welch,5,-55,-21.57,51.0
Adam Williams,26,74,5.58,51.0
Adam Young,23,-373,-31.8,51.0
Adrian Barker,1,-51,-100.0,51.0
Adrian Blair,2,-102,-100.0,51.0
Adrian Brown,1,-51,-100.0,51.0
Adrian Evans,1,-51,-100.0,51.0
Adrian Flores,6,-106,-34.64,51.0
Adrian Frank,3,-53,-34.64,51.0
Adrian Green,6,-206,-67.32,51.0
Adrian Howard,1,-51,-100.0,51.0
Adrian Hudson,71,-621,-17.15,51.0
Adrian Mitchell,9,-59,-12.85,51.0
Adrian Moore,82,-82,-1.96,51.0
Adrian Navarro,1,49,96.08,51.0
Adrian Sanchez,7,-157,-43.98,51.0
Adrian Simon,1,-51,-100.0,51.0
Adrian Williams,2,-2,-1.96,51.0
Adrian Wilson,2,98,96.08,51.0
Adriana Garcia DDS,4,-4,-1.96,51.0
Adriana Hernandez,1,-51,-100.0,51.0
Adriana Watson,11,-161,-28.7,51.0
Adrienne Leonard,1,49,96.08,51.0
Adrienne Lynch,3,47,30.72,51.0
Adrienne Scott,3,47,30.72,51.0
Aimee Delgado,15,335,43.79,51.0
Aimee Fitzpatrick,3,-53,-34.64,51.0
Alan Andrews,74,-574,-15.21,51.0
Alan Brown,1,-51,-100.0,51.0
Alan Bryant,4,-104,-50.98,51.0
Alan Downs,90,-990,-21.57,51.0
Alan Gillespie,1,-51,-100.0,51.0
Alan Herman,3,47,30.72,51.0
Alan Hernandez,4,-204,-100.0,51.0
Alan Johnson,37,-387,-20.51,51.0
Alan Jones,2,-102,-100.0,51.0
Alan Juarez,2,-2,-1.96,51.0
Alan Madden,63,387,12.04,51.0
Alan Phillips,45,-595,-25.93,51.0
Alan Raymond,1,-51,-100.0,51.0
Alan Reid,19,-69,-7.12,51.0
Alan Shah,1,49,96.08,51.0
Alan Stevens,14,-114,-15.97,51.0
Alan Stone,1,-51,-100.0,51.0
Alan Villarreal,3,-53,-34.64,51.0
Alan Williams,5,45,17.65,51.0
Albert Buchanan,18,-118,-12.85,51.0
Albert Clark,3,-153,-100.0,51.0
Albert Drake,2,-2,-1.96,51.0
Albert Garza,1,49,96.08,51.0
Albert Green,1,49,96.08,51.0
Albert Jackson,5,45,17.65,51.0
Albert Mcneil,3,-53,-34.64,51.0
Albert Miller,7,-57,-15.97,51.0
