,player_id,game_count,total_profit,avg_roi_%,avg_stake,games_per_hour,is_reg
0,Aaron Barnes,1,49,96.08,51.0,1.0,0
1,Aaron Bell Jr.,3,-53,-34.64,51.0,1.0,0
2,Aaron Castillo,2,-102,-100.0,51.0,1.0,0
3,Aaron Cruz,1,-51,-100.0,51.0,1.0,0
4,Aaron Diaz,23,-573,-48.85,51.0,2.090909090909091,0
5,Aaron Garcia,82,218,5.21,51.0,1.8636363636363635,0
6,Aaron Gray,27,123,8.93,51.0,4.5,0
7,Aaron Gray DDS,8,92,22.55,51.0,2.6666666666666665,0
8,Aaron Harris,2,-2,-1.96,51.0,2.0,0
9,Aaron Hodges,1,49,96.08,51.0,1.0,0
10,Aaron Hoffman,6,-6,-1.96,51.0,1.5,0
11,Aaron Hunter,1,-51,-100.0,51.0,1.0,0
12,Aaron Hutchinson,2,-2,-1.96,51.0,1.0,0
13,Aaron Ibarra,1,-51,-100.0,51.0,1.0,0
14,Aaron Jones,11,-61,-10.87,51.0,2.75,0
15,Aaron King,8,292,71.57,51.0,1.0,0
16,Aaron Knox,2,-2,-1.96,51.0,1.0,0
17,Aaron Lindsey,1,49,96.08,51.0,1.0,0
18,Aaron Martinez,1,49,96.08,51.0,1.0,0
19,Aaron Mejia,17,-267,-30.8,51.0,1.8888888888888888,0
20,Aaron Mendez,5,45,17.65,51.0,1.25,0
21,Aaron Moon DDS,11,-61,-10.87,51.0,11.0,0
22,Aaron Morris,1,-51,-100.0,51.0,1.0,0
23,Aaron Murray,1,49,96.08,51.0,1.0,0
24,Aaron Nelson,2,-2,-1.96,51.0,1.0,0
25,Aaron Richardson,1,49,96.08,51.0,1.0,0
26,Aaron Rodriguez DDS,22,-222,-19.79,51.0,2.2,0
27,Aaron Serrano,5,145,56.86,51.0,2.5,0
28,Aaron Simpson DDS,4,-4,-1.96,51.0,1.0,0
29,Aaron Smith,4,-4,-1.96,51.0,1.3333333333333333,0
30,Aaron Spencer,2,-2,-1.96,51.0,2.0,0
31,Aaron Stevenson,1,49,96.08,51.0,1.0,0
32,Aaron Taylor,49,201,8.04,51.0,2.45,0
33,Aaron Thomas,25,325,25.49,51.0,1.9230769230769231,0
34,Aaron Thompson,4,196,96.08,51.0,2.0,0
35,Aaron Walker,1,-51,-100.0,51.0,1.0,0
36,Aaron Wheeler,1,49,96.08,51.0,1.0,0
37,Abigail Baldwin,1,49,96.08,51.0,1.0,0
38,Abigail Bowman,2,-102,-100.0,51.0,1.0,0
39,Abigail Daniels,4,-104,-50.98,51.0,1.3333333333333333,0
40,Abigail Escobar,2,-2,-1.96,51.0,1.0,0
41,Abigail Fowler,2,-102,-100.0,51.0,2.0,0
42,Abigail Frost,10,90,17.65,51.0,1.1111111111111112,0
